met2013,year,ai_exposure,hpi_annual,pop,inmig_rate,inmig_rate_ba,inmig_rate_no_ba,skilled_inmig_share,net_mig_ba_rate,net_mig_no_ba_rate,inmig_share_ba,incumbent_share_ba,inmig_rate_young,inmig_rate_old,share_ba,log_pop,mean_age,share_female_lf,unemp_rate,mean_wage
10420,2014,-0.1581588249482206,131.8425,277344.0,0.029277720087688936,0.01286128418137764,0.016416435906311297,0.4392857142857143,-0.002884504442136841,-0.007139148494288681,0.4392857142857143,0.34330148872314503,0.014635254413291797,0.008155936310141918,0.34611168801199954,12.533013891934072,40.74537758163147,0.4893606876433132,0.06428667409330692,47354.83161972211
10420,2015,-0.1581588249482206,136.77249999999998,276275.0,0.03168943986969505,0.013710976382227853,0.0179784634874672,0.43266704740148487,-0.006522486652791603,0.0003510994480137544,0.43266704740148487,0.3322742224880383,0.018702379875124422,0.004582390733870238,0.3354556148764818,12.529152025456982,40.69942991584472,0.4741423741843055,0.05170651594699187,47673.166322455036
10420,2016,-0.1581588249482206,140.7075,271910.0,0.039347578242800926,0.01901732190798426,0.02033025633481667,0.48331619777549306,0.005674671766393292,0.0025192159170313705,0.48331619777549306,0.3502876984506778,0.02384612555625023,0.00953624361001802,0.35552204773638335,12.51322640817155,40.455705932109886,0.47709300364772395,0.05298518722320343,48276.2169583988
10420,2017,-0.1581588249482206,146.115,270312.0,0.03448237592115777,0.015012282103643198,0.019470093817514574,0.4353610127668705,-0.005216194619550741,0.0011727189321968689,0.4353610127668705,0.3463337816246537,0.023158424339282016,0.007102903311728669,0.34940365207611945,12.507332126395642,40.334709520849984,0.47609165812953674,0.03581216562907703,49820.802854674395
10420,2018,-0.1581588249482206,153.3425,269162.0,0.033700893885466744,0.019192902415645596,0.014507991469821149,0.5695072208135817,0.002478061539147428,-0.006653985332253439,0.5695072208135817,0.37027040535812467,0.017457887814773258,0.010324637207332387,0.37698486413386734,12.503068707799244,40.131987427645804,0.47915494638503897,0.04195860822721151,52633.44099634649
10420,2019,-0.1581588249482206,160.7775,262366.0,0.03945252052476312,0.022426686384668746,0.017025834140094374,0.5684474929958458,-0.003197822888636485,-0.0028547906359817966,0.5684474929958458,0.3534273753546416,0.024984182401683146,0.0024240945854264655,0.36191046095911816,12.47749575448601,39.98884764031925,0.4859279095356144,0.05845805770242025,53003.76365158667
10420,2020,-0.1581588249482206,169.915,255444.0,0.035001800786082275,0.017264057875698784,0.017737742910383488,0.4932334190806397,-0.004110489970404472,0.0001839933605800097,0.4932334190806397,0.39965436526127474,0.021315826560811765,0.007023065720862498,0.4029298006608102,12.450758486520678,39.848452106919716,0.49084752550950744,0.06665240622240831,53659.87666078667
10420,2021,-0.1581588249482206,190.295,266714.0,0.04029409779764092,0.016264613031186963,0.024029484766453956,0.4036475295431283,-0.0012485283862114474,0.0054515323530073415,0.4036475295431283,0.38603804396660507,0.02240602293092976,0.008098562505155334,0.38674760230059163,12.493932202230694,39.88662387426232,0.47648760038207094,0.050739378073371776,56591.3715364127
10420,2022,-0.1581588249482206,216.3625,266632.0,0.04823877104023523,0.020676437936931802,0.02756233310330343,0.42862696314725546,0.002171532299198896,0.007437216838188964,0.42862696314725546,0.42112148796154,0.027131027033514356,0.008513606768879954,0.4214835428605719,12.493624709531222,39.80146043985718,0.4867675473828184,0.03117170708408415,59095.15185692419
10420,2023,-0.1581588249482206,230.5125,265039.0,0.028833492429416047,0.015182671229517166,0.013650821199898883,0.526563726773096,-0.007813944362905082,0.009632544644373093,0.526563726773096,0.4161742366849652,0.01709937028135482,0.004342757103671535,0.41935715121170847,12.487632263951266,39.716607744520616,0.4893242285476622,0.04284313767097998,63619.73185913112
10420,2024,-0.1581588249482206,249.9,267897.0,0.031754741561122374,0.010369656995039138,0.021385084566083234,0.3265546020923945,-0.005983642967259805,-0.0007652194686763943,0.3265546020923945,0.415621265276225,0.022127907367383733,0.005147500718559745,0.4127929764051109,12.498357857261713,39.34447194257495,0.48404668924523087,0.03284835499032347,64892.16649337433
10580,2014,-0.0130886818877191,184.0925,339800.0,0.015626839317245438,0.009040612124779282,0.006586227192466157,0.5785310734463277,-0.008952324896998234,-0.00753678634490877,0.5785310734463277,0.3739304612992915,0.008819894055326663,0.0030694526191877573,0.37712772218952323,12.736112488219968,40.595311948204824,0.4963536311685118,0.04741475011699123,53313.1947371236
10580,2015,-0.0130886818877191,187.335,340817.0,0.031048920681773503,0.013279853997893297,0.017769066683880206,0.4277074277074277,-0.002212330957669365,0.004104842188036395,0.4277074277074277,0.3856526413008918,0.017405235067499567,0.00690693245935502,0.38695839702831725,12.739100955322309,40.38225499314881,0.4769771878092968,0.048586781189960036,53770.68926723168
10580,2016,-0.0130886818877191,191.5925,338393.0,0.031173812697071156,0.015035772016560625,0.01613804068051053,0.4823205991089203,0.004477042964836743,0.000729920536181304,0.4823205991089203,0.41939459010993035,0.01659313283667215,0.005599997635884903,0.42135623372823905,12.73196322092106,40.44037553968315,0.481551488702263,0.032355690216503766,54785.24525995612
10580,2017,-0.0130886818877191,195.9275,333490.0,0.023655881735584274,0.010995831958979279,0.012660049776604995,0.46482443909240717,-0.009172688836246964,0.0019910641998260818,0.46482443909240717,0.43392065749183817,0.014042400071966176,0.006309034753665777,0.43465171369456357,12.71736815888076,40.282476236169,0.4911473026532131,0.03913532598348881,60292.56317483222
10580,2018,-0.0130886818877191,201.2525,330545.0,0.02364579709268027,0.009469209941157785,0.014176587151522486,0.40046059365404296,-0.01115128046105674,-0.00935122298022962,0.40046059365404296,0.42826334168915714,0.01165650667836452,0.0034427990137500188,0.4276059235504999,12.708498086342678,40.184322860730006,0.48852460151021226,0.039374874552715544,58239.12508964245
10580,2019,-0.0130886818877191,207.195,332347.0,0.028674848877829496,0.015011418788194267,0.01366343008963523,0.523504721930745,-0.002232606281988404,0.0047179604449566264,0.523504721930745,0.46055814904419534,0.020009207244235692,0.005665764998630949,0.4623631325090944,12.713934882800434,39.895681321028924,0.4816177847379441,0.0329821097247519,60197.9208814774
10580,2020,-0.0130886818877191,215.6075,329857.0,0.0308163840694604,0.02373452738610974,0.007081856683350664,0.7701918347270045,0.005462973349057319,-0.0037440466626447217,0.7701918347270045,0.48706880372358397,0.01730749991663054,0.003938070133421452,0.4957936317858951,12.706414506193308,39.738629163546626,0.47148480172010193,0.04633177853687295,64177.22108023073
10580,2021,-0.0130886818877191,240.355,337936.0,0.02721817148809242,0.011910539273708632,0.015307632214383788,0.4375951293759513,-0.005438899673310923,-0.002512310023199659,0.4375951293759513,0.4731579555755647,0.01746484541451636,0.003811372567586762,0.47219000047346243,12.730611807423923,39.79743797642157,0.49279346009051495,0.049793419318011935,65229.81368738139
10580,2022,-0.0130886818877191,270.2675,333916.0,0.02694090729405,0.013623186669701363,0.013317720624348639,0.5056691863050244,-0.011535835359791085,-0.001449466332850178,0.5056691863050244,0.4699679921211375,0.02058302087950263,0.0025006289006816087,0.47092981468393247,12.718644743322175,39.801665688376715,0.48484643553944523,0.03934888533470391,70417.43150093868
10580,2023,-0.0130886818877191,291.525,336519.0,0.029032536052942034,0.01954124432795771,0.009491291724984325,0.6730808597748209,-0.0014471694020248486,-0.009758735762319512,0.6730808597748209,0.4743977793352084,0.017306600816001473,0.006127440055390632,0.480166053031181,12.72640989006875,39.87784939334777,0.48780086774738013,0.02688808877465077,72401.56188123036
10580,2024,-0.0130886818877191,315.0525,338749.0,0.025532178692778427,0.01907902311150734,0.006453155581271089,0.7472540178055267,0.007176404948796897,-0.012124021030320386,0.7472540178055267,0.5077067555286277,0.017505586732359357,0.0047262132139135465,0.5138229190344473,12.73301469914217,39.746281169833715,0.48426778801228143,0.026398344680283008,76564.67514351262
10740,2014,-0.1324970521440698,154.3075,359756.0,0.032319127408576925,0.014598783620009118,0.017720343788567808,0.4517072331641868,0.0014704410767297836,0.0059679338218125615,0.4517072331641868,0.30590959098495096,0.01763417427367438,0.007360544368961185,0.3106216435584118,12.793181302859317,39.81399059362457,0.47336238997968855,0.08125282103362672,43089.790791347696
10740,2015,-0.1324970521440698,157.2275,359482.0,0.027506245097111956,0.01354170723429824,0.013964537862813715,0.4923139158576052,-0.007304955463694984,-0.00835925025453291,0.4923139158576052,0.2771815305754675,0.013102185923078206,0.007410663120823852,0.28309901469336435,12.792419385348689,39.80108044352708,0.4745448576058292,0.05991604974882,43234.02460671415
