MET2013,ai_exposure_wtd_avg,perwt_with_score,n_workers,perwt_total_all,perwt_coverage_pct,n_workers_all,n_coverage_pct
31080,-0.12820889005839572,5578201.0,273239,6072730.0,91.86,297932,91.71
24340,-0.12849428076622882,389486.0,13952,431768.0,90.21,15472,90.18
13820,-0.13011526866596576,443338.0,18703,483853.0,91.63,20536,91.07
10740,-0.1324970521440698,358325.0,13907,392170.0,91.37,15272,91.06
48140,-0.13295287593712674,60235.0,3587,64950.0,92.74,3886,92.31
16620,-0.13371377838287907,71314.0,3239,78507.0,90.84,3574,90.63
13980,-0.13384762817741408,71625.0,3183,77240.0,92.73,3438,92.58
34060,-0.13483360149172402,56017.0,2730,61128.0,91.64,2986,91.43
19380,-0.1349173857543969,323659.0,14961,353884.0,91.46,16358,91.46
12220,-0.1388239508688887,65190.0,2080,70181.0,92.89,2259,92.08
48620,-0.13899497095170285,252605.0,10266,273529.0,92.35,11164,91.96
35980,-0.14117713602717466,115273.0,6096,129646.0,88.91,6900,88.35
37100,-0.1419674813070547,340665.0,16806,371099.0,91.8,18425,91.21
14740,-0.1428282240651021,101615.0,5674,116885.0,86.94,6488,87.45
36740,-0.14442477109295168,1047045.0,42179,1140192.0,91.83,46062,91.57
30780,-0.14665752484477013,285879.0,11257,314498.0,90.9,12447,90.44
45060,-0.14761648925083795,270389.0,16647,296634.0,91.15,18238,91.28
26420,-0.1493137228619274,2798969.0,103946,3039672.0,92.08,113395,91.67
13460,-0.1502014603119982,76582.0,2492,84843.0,90.26,2750,90.62
42140,-0.15245942636695825,58966.0,3585,63964.0,92.19,3890,92.16
22220,-0.1546595294639788,202785.0,8657,221611.0,91.5,9509,91.04
17900,-0.1555152299606513,335666.0,16328,375509.0,89.39,18403,88.72
10420,-0.15815882494822064,293180.0,13238,325002.0,90.21,14629,90.49
40220,-0.1592861397563295,134442.0,6062,146387.0,91.84,6634,91.38
33860,-0.16301747298656682,139281.0,5713,154206.0,90.32,6381,89.53
24860,-0.16410348736685082,380696.0,18238,415360.0,91.65,19988,91.24
36420,-0.16503377334084735,589000.0,19774,646401.0,91.12,21781,90.79
45820,-0.16621556395728337,92598.0,4645,101029.0,91.65,5101,91.06
13900,-0.1665932581398534,61272.0,2478,67461.0,90.83,2708,91.51
31140,-0.16706010627844226,528943.0,27468,574623.0,92.05,29950,91.71
39300,-0.1693431896169831,710625.0,33748,780967.0,90.99,37114,90.93
46520,-0.16992817099032967,419540.0,20703,476745.0,88.0,23866,86.75
42220,-0.1704838395684021,216057.0,9898,234209.0,92.25,10746,92.11
19300,-0.17242541107497153,80216.0,2577,87147.0,92.05,2821,91.35
29100,-0.17261040970253488,52789.0,1994,57020.0,92.58,2160,92.31
29200,-0.17283320097300317,80368.0,3656,86822.0,92.57,3934,92.93
16860,-0.17461429687165742,215004.0,10265,233360.0,92.13,11184,91.78
36780,-0.17545380429387436,72348.0,2682,77813.0,92.98,2902,92.42
12940,-0.17647900644862044,336778.0,12050,370286.0,90.95,13299,90.61
42020,-0.17783043421182917,113044.0,4758,122192.0,92.51,5189,91.69
46060,-0.17785141562557347,395039.0,18972,433317.0,91.17,20835,91.06
33260,-0.1780089290297618,68602.0,2341,75550.0,90.8,2588,90.46
37860,-0.17910396760966946,193321.0,8816,215291.0,89.8,9952,88.59
48900,-0.18340961084031834,118225.0,4970,128359.0,92.1,5438,91.39
27620,-0.1836393672537508,60006.0,3045,65620.0,91.44,3374,90.25
28020,-0.18459092868139773,159161.0,7035,174155.0,91.39,7712,91.22
11260,-0.1871241188939033,192104.0,5640,211206.0,90.96,6238,90.41
23060,-0.18904161676138392,149809.0,7387,164798.0,90.9,8119,90.98
49620,-0.18947709658517792,189011.0,8275,207552.0,91.07,9097,90.96
13380,-0.18948865166315604,92903.0,3736,100837.0,92.13,4077,91.64
44180,-0.19352764277254927,167782.0,7234,183055.0,91.66,7891,91.67
10900,-0.19440538626505177,350805.0,15020,384193.0,91.31,16473,91.18
44060,-0.19631842028154922,235677.0,12015,257952.0,91.36,13189,91.1
30340,-0.19745035095645677,45290.0,1631,49277.0,91.91,1780,91.63
33100,-0.19798479710027223,2545558.0,113188,2783156.0,91.46,124286,91.07
28940,-0.20091290435089698,373537.0,18619,407277.0,91.72,20331,91.58
12700,-0.20371142678311735,102079.0,5092,112746.0,90.54,5630,90.44
41700,-0.20447358859887574,971474.0,43047,1063947.0,91.31,47341,90.93
27140,-0.20760722519112393,243915.0,10882,269794.0,90.41,12081,90.08
35380,-0.20788666076288903,514303.0,26282,565181.0,91.0,28857,91.08
